Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
01/01/2020,12/31/2020,By Year,2020,6,Rhode Island,Nursing home/long term care facility,848,3308,290,186,0,958
01/01/2020,12/31/2020,By Year,2020,6,New York City,"Healthcare setting, dead on arrival",28,452,15,0,0,38
01/01/2020,12/31/2020,By Year,2020,6,New York City,Total - All Places of Death,22282,82143,12963,8423,1021,27008
01/01/2020,12/31/2020,By Year,2020,6,Connecticut,Nursing home/long term care facility,2330,8338,543,269,14,2618
01/01/2020,12/31/2020,By Year,2020,6,South Dakota,Other,10,461,14,0,0,22
01/01/2021,01/31/2021,By Month,2021,1,Oklahoma,Total - All Places of Death,1956,5550,1098,862,0,2196
01/01/2021,01/31/2021,By Month,2021,1,New Mexico,Total - All Places of Death,707,2421,443,354,0,798
01/01/2021,01/31/2021,By Month,2021,1,Michigan,Total - All Places of Death,1743,10374,1257,850,0,2150
01/01/2021,01/31/2021,By Month,2021,1,California,Total - All Places of Death,20065,48157,13803,12191,16,21688
01/01/2021,01/31/2021,By Month,2021,1,California,Hospice facility,106,605,49,33,0,122
01/01/2021,01/31/2021,By Month,2021,1,Wyoming,Nursing home/long term care facility,30,88,28,0,0,31
01/01/2021,01/31/2021,By Month,2021,1,New York,Place of death unknown,0,11,28,0,0,41
01/01/2021,01/31/2021,By Month,2021,1,New York City,Decedent's home,167,1910,32,18,0,182
01/01/2021,01/31/2021,By Month,2021,1,New Mexico,Place of death unknown,0,0,0,0,0,0
01/01/2021,01/31/2021,By Month,2021,1,Utah,Decedent's home,72,927,47,25,0,94
01/01/2021,01/31/2021,By Month,2021,1,Washington,"Healthcare setting, dead on arrival",0,412,0,0,0,0
01/01/2021,01/31/2021,By Month,2021,1,Utah,"Healthcare setting, inpatient",265,621,212,170,0,307
01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Decedent's home,15,224,10,0,0,21
01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Total - All Places of Death,188,906,143,98,0,233
01/01/2021,01/31/2021,By Month,2021,1,Oregon,Hospice facility,23,71,28,0,0,41
01/01/2021,01/31/2021,By Month,2021,1,Alabama,Total - All Places of Death,2415,7821,1164,891,0,2692
01/01/2021,01/31/2021,By Month,2021,1,Montana,"Healthcare setting, dead on arrival",0,412,0,0,0,0
01/01/2021,01/31/2021,By Month,2021,1,Nevada,Hospice facility,135,406,120,113,0,142
01/01/2021,01/31/2021,By Month,2021,1,Maine,Decedent's home,23,554,15,0,0,23
01/01/2021,01/31/2021,By Month,2021,1,New York,Other,33,288,11,0,0,40
01/01/2021,01/31/2021,By Month,2021,1,Nevada,"Healthcare setting, outpatient or emergency room",38,315,43,29,0,52
01/01/2021,01/31/2021,By Month,2021,1,South Carolina,"Healthcare setting, inpatient",1479,2733,816,638,0,1658
01/01/2021,01/31/2021,By Month,2021,1,Iowa,"Healthcare setting, inpatient",335,984,236,162,0,409
01/01/2021,01/31/2021,By Month,2021,1,Vermont,Decedent's home,23,216,28,0,0,41
01/01/2021,01/31/2021,By Month,2021,1,Rhode Island,"Healthcare setting, outpatient or emergency room",23,103,28,0,0,12
01/01/2021,01/31/2021,By Month,2021,1,Illinois,Other,68,745,27,15,0,80
01/01/2021,01/31/2021,By Month,2021,1,Washington,Place of death unknown,0,0,0,0,0,0
01/01/2021,01/31/2021,By Month,2021,1,Tennessee,"Healthcare setting, outpatient or emergency room",93,758,49,32,0,110
01/01/2021,01/31/2021,By Month,2021,1,North Dakota,"Healthcare setting, inpatient",69,316,69,43,0,95
01/01/2021,01/31/2021,By Month,2021,1,California,Other,633,3379,218,161,0,690
01/01/2021,01/31/2021,By Month,2021,1,Nevada,Place of death unknown,0,412,0,0,0,0
01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Place of death unknown,0,0,0,0,0,0
01/01/2021,01/31/2021,By Month,2021,1,New Jersey,"Healthcare setting, dead on arrival",23,26,0,0,0,41
01/01/2021,12/31/2021,By Year,2021,6,Vermont,"Healthcare setting, outpatient or emergency room",23,246,10,0,0,14
01/01/2021,12/31/2021,By Year,2021,6,Tennessee,Nursing home/long term care facility,1074,12128,750,305,0,1520
01/01/2021,12/31/2021,By Year,2021,6,Texas,Total - All Places of Death,48786,271496,41390,29152,164,61139
01/01/2021,12/31/2021,By Year,2021,6,Nebraska,Total - All Places of Death,1939,19100,1976,981,0,2941
01/01/2021,12/31/2021,By Year,2021,6,Montana,Other,12,756,12,0,0,20
01/01/2021,12/31/2021,By Year,2021,6,Idaho,Place of death unknown,0,0,0,0,0,0
01/01/2021,12/31/2021,By Year,2021,6,Utah,"Healthcare setting, inpatient",1798,6096,1622,1155,0,2267
01/01/2021,12/31/2021,By Year,2021,6,Florida,"Healthcare setting, inpatient",28640,86283,29325,21756,56,36247
01/01/2021,12/31/2021,By Year,2021,6,Louisiana,"Healthcare setting, dead on arrival",23,39,28,0,0,41
01/01/2021,12/31/2021,By Year,2021,6,Utah,"Healthcare setting, outpatient or emergency room",92,839,63,31,0,125
01/01/2021,12/31/2021,By Year,2021,6,United States,Place of death unknown,28,560,29,12,0,45
01/01/2021,12/31/2021,By Year,2021,6,Nebraska,Other,85,1908,49,12,0,122
01/01/2021,12/31/2021,By Year,2021,6,West Virginia,Hospice facility,199,2553,188,68,0,319
01/01/2021,12/31/2021,By Year,2021,6,Ohio,Total - All Places of Death,20536,147563,16996,11353,33,26208
01/01/2021,12/31/2021,By Year,2021,6,Mississippi,"Healthcare setting, dead on arrival",23,83,28,0,0,10
01/01/2021,12/31/2021,By Year,2021,6,Arkansas,"Healthcare setting, inpatient",3895,13350,3757,2426,10,5233
01/01/2021,12/31/2021,By Year,2021,6,Massachusetts,"Healthcare setting, dead on arrival",11,631,28,0,0,14
01/01/2021,12/31/2021,By Year,2021,6,Colorado,Other,141,3309,88,42,0,187
01/01/2021,12/31/2021,By Year,2021,6,Arizona,"Healthcare setting, dead on arrival",23,17,28,0,0,41
01/01/2021,12/31/2021,By Year,2021,6,New Hampshire,Hospice facility,23,627,25,0,0,30
01/01/2021,12/31/2021,By Year,2021,6,Washington,Other,87,4079,93,44,0,136
01/01/2021,12/31/2021,By Year,2021,6,Montana,Place of death unknown,0,0,0,0,0,0
01/01/2021,12/31/2021,By Year,2021,6,Rhode Island,Other,23,184,28,0,0,41
01/01/2021,12/31/2021,By Year,2021,6,Pennsylvania,Place of death unknown,0,412,0,0,0,0
01/01/2021,12/31/2021,By Year,2021,6,New Jersey,Total - All Places of Death,9605,83604,8639,5137,0,13113
01/01/2021,12/31/2021,By Year,2021,6,Michigan,Hospice facility,337,8125,202,62,0,477
01/01/2021,12/31/2021,By Year,2021,6,Kansas,Other,57,1680,31,10,0,78
01/01/2021,12/31/2021,By Year,2021,6,Virginia,Nursing home/long term care facility,1281,13405,454,184,0,1554
01/01/2021,12/31/2021,By Year,2021,6,Texas,Decedent's home,4755,86017,2444,1114,27,6104
01/01/2021,12/31/2021,By Year,2021,6,Iowa,Nursing home/long term care facility,737,8537,414,169,0,983
01/01/2021,12/31/2021,By Year,2021,6,Oklahoma,Other,122,2974,68,29,0,162
01/01/2021,12/31/2021,By Year,2021,6,Oregon,"Healthcare setting, outpatient or emergency room",127,1815,97,42,0,182
01/01/2021,12/31/2021,By Year,2021,6,New York City,Total - All Places of Death,9058,63549,6960,3320,24,12717
01/01/2021,12/31/2021,By Year,2021,6,Maine,Total - All Places of Death,1433,17129,1274,422,0,2288
01/01/2021,12/31/2021,By Year,2021,6,Massachusetts,"Healthcare setting, inpatient",4034,21478,4547,2499,16,6095
01/01/2021,12/31/2021,By Year,2021,6,Washington,Nursing home/long term care facility,670,10242,477,218,0,929
01/01/2021,12/31/2021,By Year,2021,6,Alabama,Other,104,3898,62,25,0,141
01/01/2021,12/31/2021,By Year,2021,6,Nebraska,"Healthcare setting, inpatient",1312,5974,1452,829,0,1941
01/01/2022,01/31/2022,By Month,2022,1,Kansas,Other,17,166,28,0,0,20
01/01/2022,01/31/2022,By Month,2022,1,California,Decedent's home,1061,13008,473,273,0,1266
01/01/2022,01/31/2022,By Month,2022,1,Mississippi,"Healthcare setting, inpatient",604,1425,512,361,0,759
01/01/2022,01/31/2022,By Month,2022,1,Wisconsin,Nursing home/long term care facility,90,769,40,25,0,106
01/01/2022,01/31/2022,By Month,2022,1,Kentucky,Nursing home/long term care facility,107,703,42,18,0,132
01/01/2022,01/31/2022,By Month,2022,1,Arizona,Other,72,800,27,17,0,82
01/01/2022,01/31/2022,By Month,2022,1,District of Columbia,Other,23,44,28,0,0,41
01/01/2022,01/31/2022,By Month,2022,1,Delaware,"Healthcare setting, inpatient",237,445,186,160,0,264
01/01/2022,01/31/2022,By Month,2022,1,Iowa,"Healthcare setting, inpatient",447,1202,351,249,0,557
01/01/2022,01/31/2022,By Month,2022,1,District of Columbia,"Healthcare setting, outpatient or emergency room",23,39,28,0,0,41
01/01/2022,01/31/2022,By Month,2022,1,Louisiana,"Healthcare setting, dead on arrival",0,412,28,0,0,41
01/01/2022,01/31/2022,By Month,2022,1,California,"Healthcare setting, dead on arrival",23,412,28,0,0,41
01/01/2022,01/31/2022,By Month,2022,1,Tennessee,"Healthcare setting, outpatient or emergency room",127,831,73,39,0,162
01/01/2022,01/31/2022,By Month,2022,1,Minnesota,"Healthcare setting, inpatient",590,1644,439,309,13,730
01/01/2022,01/31/2022,By Month,2022,1,New York,Decedent's home,297,3908,126,62,0,363
01/01/2022,01/31/2022,By Month,2022,1,Rhode Island,Total - All Places of Death,307,1241,202,169,0,340
01/01/2022,01/31/2022,By Month,2022,1,Oregon,Total - All Places of Death,589,4385,372,248,0,714
01/01/2022,01/31/2022,By Month,2022,1,Vermont,Hospice facility,0,27,28,0,0,41
01/01/2022,01/31/2022,By Month,2022,1,New York,Other,30,248,10,0,0,35
01/01/2022,01/31/2022,By Month,2022,1,Wisconsin,Place of death unknown,0,0,0,0,0,0
01/01/2022,01/31/2022,By Month,2022,1,California,"Healthcare setting, inpatient",4692,12346,4490,3259,11,5933
01/01/2022,01/31/2022,By Month,2022,1,Alaska,Total - All Places of Death,68,519,54,31,0,96
01/01/2022,01/31/2022,By Month,2022,1,Oregon,"Healthcare setting, dead on arrival",0,412,0,0,0,0
01/01/2022,01/31/2022,By Month,2022,1,Puerto Rico,Place of death unknown,0,412,0,0,0,0
01/01/2022,01/31/2022,By Month,2022,1,New Hampshire,"Healthcare setting, dead on arrival",0,412,0,0,0,0
01/01/2022,12/31/2022,By Year,2022,6,Oregon,"Healthcare setting, dead on arrival",0,412,0,0,0,0
01/01/2022,12/31/2022,By Year,2022,6,North Dakota,Hospice facility,23,66,28,0,0,41
01/01/2022,12/31/2022,By Year,2022,6,Wisconsin,Nursing home/long term care facility,405,7930,282,78,11,620
01/01/2022,12/31/2022,By Year,2022,6,Louisiana,Decedent's home,519,20067,324,128,13,727
01/01/2022,12/31/2022,By Year,2022,6,Wisconsin,"Healthcare setting, outpatient or emergency room",117,2259,77,23,0,176
01/01/2022,12/31/2022,By Year,2022,6,Indiana,Place of death unknown,0,0,0,0,0,0
01/01/2022,12/31/2022,By Year,2022,6,Vermont,"Healthcare setting, dead on arrival",0,11,0,0,0,0
01/01/2022,12/31/2022,By Year,2022,6,Virginia,Nursing home/long term care facility,967,14135,384,146,22,1225
01/01/2022,12/31/2022,By Year,2022,6,Virginia,"Healthcare setting, dead on arrival",23,221,28,0,0,14
01/01/2022,12/31/2022,By Year,2022,6,Maryland,"Healthcare setting, inpatient",2218,14257,2790,1082,64,3979
01/01/2022,12/31/2022,By Year,2022,6,Florida,"Healthcare setting, outpatient or emergency room",549,15603,596,199,19,964
01/01/2022,12/31/2022,By Year,2022,6,Idaho,Place of death unknown,0,0,0,0,0,0
01/01/2022,12/31/2022,By Year,2022,6,Texas,"Healthcare setting, dead on arrival",12,214,28,0,0,16
01/01/2022,12/31/2022,By Year,2022,6,California,Decedent's home,3816,122175,2563,1001,88,5463
01/01/2022,12/31/2022,By Year,2022,6,Massachusetts,"Healthcare setting, inpatient",2608,21275,3639,1411,150,4975
01/01/2022,12/31/2022,By Year,2022,6,South Carolina,Decedent's home,820,23352,520,181,18,1172
01/01/2022,12/31/2022,By Year,2022,6,Hawaii,Total - All Places of Death,628,13283,1038,272,18,1411
01/01/2022,12/31/2022,By Year,2022,6,Missouri,"Healthcare setting, dead on arrival",23,39,28,0,0,41
01/01/2022,12/31/2022,By Year,2022,6,New Mexico,Nursing home/long term care facility,224,2973,115,50,0,293
01/01/2022,12/31/2022,By Year,2022,6,United States,Place of death unknown,11,277,9,2,0,18
01/01/2022,12/31/2022,By Year,2022,6,Nebraska,Total - All Places of Death,1279,18780,1406,508,77,2245
01/01/2022,12/31/2022,By Year,2022,6,Mississippi,Place of death unknown,0,0,0,0,0,0
01/01/2022,12/31/2022,By Year,2022,6,New York,Nursing home/long term care facility,1589,20561,1173,264,62,2555
01/01/2022,12/31/2022,By Year,2022,6,Iowa,Other,51,1586,24,0,0,67
01/01/2022,12/31/2022,By Year,2022,6,North Carolina,"Healthcare setting, inpatient",4946,32615,6910,3159,196,8881
01/01/2022,12/31/2022,By Year,2022,6,North Dakota,Other,23,352,28,0,0,41
01/01/2022,12/31/2022,By Year,2022,6,Indiana,"Healthcare setting, inpatient",3520,23406,5014,2350,162,6334
01/01/2022,12/31/2022,By Year,2022,6,Michigan,Nursing home/long term care facility,1027,15680,519,174,0,1381
01/01/2022,12/31/2022,By Year,2022,6,Oklahoma,Place of death unknown,0,0,0,0,0,0
01/01/2022,12/31/2022,By Year,2022,6,North Carolina,Decedent's home,1189,37834,667,283,40,1609
01/01/2022,12/31/2022,By Year,2022,6,Maine,"Healthcare setting, dead on arrival",0,10,0,0,0,0
01/01/2022,12/31/2022,By Year,2022,6,Tennessee,"Healthcare setting, outpatient or emergency room",314,7221,288,77,19,542
01/01/2022,12/31/2022,By Year,2022,6,South Dakota,"Healthcare setting, inpatient",372,2808,558,213,31,746
01/01/2022,12/31/2022,By Year,2022,6,Missouri,Place of death unknown,0,0,0,0,0,0
01/01/2022,12/31/2022,By Year,2022,6,Arkansas,"Healthcare setting, inpatient",1608,11086,2311,918,94,3090
01/01/2023,01/31/2023,By Month,2023,1,Arkansas,Place of death unknown,0,0,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Arkansas,Hospice facility,21,308,28,0,0,43
01/01/2023,01/31/2023,By Month,2023,1,Alabama,"Healthcare setting, inpatient",159,1631,282,67,13,385
01/01/2023,01/31/2023,By Month,2023,1,New York,Hospice facility,41,682,64,12,0,98
01/01/2023,01/31/2023,By Month,2023,1,Kansas,"Healthcare setting, dead on arrival",0,0,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Total - All Places of Death,78,1651,116,24,15,185
01/01/2023,01/31/2023,By Month,2023,1,New York,Other,23,249,28,0,0,12
01/01/2023,01/31/2023,By Month,2023,1,Nevada,"Healthcare setting, inpatient",45,804,179,37,16,202
01/01/2023,01/31/2023,By Month,2023,1,Virginia,"Healthcare setting, inpatient",231,2314,335,107,20,477
01/01/2023,01/31/2023,By Month,2023,1,Colorado,Other,23,257,28,0,0,16
01/01/2023,01/31/2023,By Month,2023,1,Nevada,"Healthcare setting, dead on arrival",0,0,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Hawaii,"Healthcare setting, dead on arrival",0,51,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Connecticut,"Healthcare setting, dead on arrival",0,11,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Oklahoma,Hospice facility,17,158,16,0,0,27
01/01/2023,01/31/2023,By Month,2023,1,Alaska,Place of death unknown,0,0,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Illinois,Place of death unknown,0,0,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Delaware,"Healthcare setting, inpatient",23,263,44,13,0,58
01/01/2023,01/31/2023,By Month,2023,1,Pennsylvania,"Healthcare setting, outpatient or emergency room",17,617,20,0,0,37
01/01/2023,01/31/2023,By Month,2023,1,Illinois,Other,19,737,15,0,0,31
01/01/2023,01/31/2023,By Month,2023,1,New Mexico,Total - All Places of Death,87,1915,159,48,21,216
01/01/2023,01/31/2023,By Month,2023,1,New Mexico,Hospice facility,23,50,28,0,0,10
01/01/2023,01/31/2023,By Month,2023,1,South Dakota,"Healthcare setting, inpatient",23,253,27,0,0,36
01/01/2023,01/31/2023,By Month,2023,1,Utah,Total - All Places of Death,43,2043,136,18,27,186
01/01/2023,01/31/2023,By Month,2023,1,Colorado,Total - All Places of Death,179,4091,289,65,44,447
01/01/2023,01/31/2023,By Month,2023,1,Missouri,"Healthcare setting, dead on arrival",0,412,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Oregon,Decedent's home,37,1604,33,0,10,72
01/01/2023,01/31/2023,By Month,2023,1,Illinois,"Healthcare setting, outpatient or emergency room",24,706,25,0,0,42
01/01/2023,01/31/2023,By Month,2023,1,South Carolina,Nursing home/long term care facility,63,644,28,0,0,83
01/01/2023,01/31/2023,By Month,2023,1,New York City,Nursing home/long term care facility,42,676,18,0,0,55
01/01/2023,01/31/2023,By Month,2023,1,New Jersey,Place of death unknown,0,0,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Maryland,Place of death unknown,0,0,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Maryland,"Healthcare setting, dead on arrival",0,412,0,0,0,0
01/01/2023,01/31/2023,By Month,2023,1,Arkansas,Total - All Places of Death,167,3315,272,58,17,397
01/01/2023,01/31/2023,By Month,2023,1,Tennessee,Other,23,407,28,0,0,41
01/01/2023,01/31/2023,By Month,2023,1,Idaho,Place of death unknown,0,0,0,0,0,0
01/01/2023,04/08/2023,By Year,2023,6,Wisconsin,"Healthcare setting, inpatient",238,3880,547,103,48,725
01/01/2023,04/08/2023,By Year,2023,6,Massachusetts,Nursing home/long term care facility,180,3071,112,19,13,285
01/01/2023,04/08/2023,By Year,2023,6,Missouri,Other,23,636,11,0,0,18
01/01/2023,04/08/2023,By Year,2023,6,West Virginia,"Healthcare setting, outpatient or emergency room",23,450,17,0,0,24
01/01/2023,04/08/2023,By Year,2023,6,Utah,Hospice facility,0,0,0,0,0,0
01/01/2023,04/08/2023,By Year,2023,6,Puerto Rico,Decedent's home,29,2821,27,0,0,53
01/01/2023,04/08/2023,By Year,2023,6,Wisconsin,"Healthcare setting, outpatient or emergency room",23,528,17,0,0,26
01/01/2023,04/08/2023,By Year,2023,6,Colorado,Nursing home/long term care facility,94,2514,86,21,0,166
01/01/2023,04/08/2023,By Year,2023,6,New Hampshire,"Healthcare setting, outpatient or emergency room",23,167,28,0,0,41
01/01/2023,04/08/2023,By Year,2023,6,Texas,Other,58,4324,77,19,0,118
01/01/2023,04/08/2023,By Year,2023,6,Iowa,"Healthcare setting, dead on arrival",0,412,0,0,0,0
01/01/2023,04/08/2023,By Year,2023,6,Alabama,Hospice facility,28,621,46,15,0,59
01/01/2023,04/08/2023,By Year,2023,6,South Dakota,Total - All Places of Death,78,1957,145,24,13,211
01/01/2023,04/08/2023,By Year,2023,6,Missouri,"Healthcare setting, inpatient",266,5011,779,137,37,939
01/01/2023,04/08/2023,By Year,2023,6,Louisiana,Decedent's home,54,3905,43,11,0,86
01/01/2023,04/08/2023,By Year,2023,6,Montana,Decedent's home,17,1017,19,0,0,37
01/01/2023,04/08/2023,By Year,2023,6,Hawaii,Total - All Places of Death,69,3266,232,25,10,285
01/01/2023,04/08/2023,By Year,2023,6,Indiana,"Healthcare setting, dead on arrival",0,11,0,0,0,0
01/01/2023,04/08/2023,By Year,2023,6,Utah,"Healthcare setting, outpatient or emergency room",23,165,28,0,0,11
