Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alaska,"Healthcare setting, outpatient or emergency room",56,1074,42,15,,85,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alaska,"Healthcare setting, dead on arrival",0,12,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alaska,Decedent's home,239,7179,167,63,,349,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alaska,Hospice facility,0,0,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alaska,Nursing home/long term care facility,105,1718,57,24,,141,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alaska,Other,39,1655,37,13,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alaska,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arizona,Total - All Places of Death,29808,253090,28716,17220,349,41630,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arizona,"Healthcare setting, inpatient",20174,69301,21246,13959,230,27679,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arizona,"Healthcare setting, outpatient or emergency room",936,13713,769,338,18,1383,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arizona,"Healthcare setting, dead on arrival",,79,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arizona,Decedent's home,3279,86803,2599,1099,42,4819,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arizona,Hospice facility,1620,19506,1522,608,31,2561,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arizona,Nursing home/long term care facility,2027,27266,1358,676,12,2721,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arizona,Other,1766,36422,1219,538,16,2460,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arizona,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arkansas,Total - All Places of Death,12432,124657,12496,5976,279,19211,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arkansas,"Healthcare setting, inpatient",8059,38056,9285,4786,188,12734,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arkansas,"Healthcare setting, outpatient or emergency room",540,9186,460,162,26,864,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arkansas,"Healthcare setting, dead on arrival",17,235,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arkansas,Decedent's home,1077,41430,859,257,38,1712,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arkansas,Hospice facility,588,11141,818,273,14,1146,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arkansas,Nursing home/long term care facility,2002,17535,964,464,11,2511,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arkansas,Other,149,7074,101,31,,221,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Arkansas,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,California,Total - All Places of Death,106835,1044789,116411,61201,1694,163656,
04/12/2023,01/01/2020,04/08/2023,By Total,,,California,"Healthcare setting, inpatient",75769,339212,93364,51674,1325,118721,
04/12/2023,01/01/2020,04/08/2023,By Total,,,California,"Healthcare setting, outpatient or emergency room",4202,58915,3820,1560,86,6541,
04/12/2023,01/01/2020,04/08/2023,By Total,,,California,"Healthcare setting, dead on arrival",28,344,26,12,0,42,
04/12/2023,01/01/2020,04/08/2023,By Total,,,California,Decedent's home,12132,397908,8836,3321,167,17808,
04/12/2023,01/01/2020,04/08/2023,By Total,,,California,Hospice facility,438,13796,517,170,,788,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,California,Nursing home/long term care facility,9571,104044,6495,2956,66,13171,
04/12/2023,01/01/2020,04/08/2023,By Total,,,California,Other,4694,130552,3352,1507,47,6584,
04/12/2023,01/01/2020,04/08/2023,By Total,,,California,Place of death unknown,,18,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Colorado,Total - All Places of Death,15064,155737,14259,7745,385,21945,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Colorado,"Healthcare setting, inpatient",8343,39659,9341,5770,210,12114,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Colorado,"Healthcare setting, outpatient or emergency room",354,6105,323,140,20,557,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Colorado,"Healthcare setting, dead on arrival",16,144,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Colorado,Decedent's home,2367,56778,1837,688,70,3584,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Colorado,Hospice facility,482,11105,748,228,21,1022,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Colorado,Nursing home/long term care facility,3172,31360,1714,826,56,4111,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Colorado,Other,330,10551,288,87,,539,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Colorado,Place of death unknown,0,35,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Connecticut,Total - All Places of Death,12397,115968,9526,4026,211,18095,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Connecticut,"Healthcare setting, inpatient",7391,40245,7499,3358,149,11670,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Connecticut,"Healthcare setting, outpatient or emergency room",466,7192,213,63,10,626,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Connecticut,"Healthcare setting, dead on arrival",19,685,12,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Connecticut,Decedent's home,776,34673,350,67,15,1073,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Connecticut,Hospice facility,241,4228,187,84,,349,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Connecticut,Nursing home/long term care facility,3268,22011,1174,423,30,4048,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Connecticut,Other,236,6934,91,28,,301,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Connecticut,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Delaware,Total - All Places of Death,3362,36394,3201,1661,61,4959,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Delaware,"Healthcare setting, inpatient",2041,9715,2477,1367,42,3190,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Delaware,"Healthcare setting, outpatient or emergency room",99,2148,100,33,,170,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Delaware,"Healthcare setting, dead on arrival",,36,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Delaware,Decedent's home,372,13547,224,99,,504,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Delaware,Hospice facility,208,4261,179,62,,330,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Delaware,Nursing home/long term care facility,617,4664,193,93,,719,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Delaware,Other,23,2019,28,,0,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Delaware,Place of death unknown,,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,District of Columbia,Total - All Places of Death,2197,22694,2843,1659,25,3402,
04/12/2023,01/01/2020,04/08/2023,By Total,,,District of Columbia,"Healthcare setting, inpatient",1691,11676,2369,1341,22,2739,
04/12/2023,01/01/2020,04/08/2023,By Total,,,District of Columbia,"Healthcare setting, outpatient or emergency room",88,1322,84,59,0,113,
04/12/2023,01/01/2020,04/08/2023,By Total,,,District of Columbia,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,District of Columbia,Decedent's home,188,5759,166,110,,244,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,District of Columbia,Hospice facility,40,761,53,32,0,61,
04/12/2023,01/01/2020,04/08/2023,By Total,,,District of Columbia,Nursing home/long term care facility,158,1577,134,95,0,197,
04/12/2023,01/01/2020,04/08/2023,By Total,,,District of Columbia,Other,32,1596,37,22,,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,District of Columbia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Florida,Total - All Places of Death,79665,811512,90605,49128,1168,122198,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Florida,"Healthcare setting, inpatient",54042,241167,63475,38179,751,80012,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Florida,"Healthcare setting, outpatient or emergency room",2621,51243,2345,1063,54,3954,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Florida,"Healthcare setting, dead on arrival",34,609,17,11,0,40,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Florida,Decedent's home,5646,230502,5382,1978,92,9138,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Florida,Hospice facility,9982,143914,13128,5214,205,18082,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Florida,Nursing home/long term care facility,4108,65954,2905,1121,25,5913,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Florida,Other,3232,78117,3353,1562,41,5059,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Florida,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Georgia,Total - All Places of Death,35863,341022,32183,18460,502,50041,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Georgia,"Healthcare setting, inpatient",24884,106471,24941,15472,357,34675,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Georgia,"Healthcare setting, outpatient or emergency room",1933,31213,1195,517,37,2644,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Georgia,"Healthcare setting, dead on arrival",69,2433,46,14,,102,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Georgia,Decedent's home,3384,115249,2057,809,59,4685,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Georgia,Hospice facility,1737,23936,1907,693,26,2976,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Georgia,Nursing home/long term care facility,3330,40349,1760,841,15,4263,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Georgia,Other,526,21336,277,114,,696,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Georgia,Place of death unknown,0,35,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Hawaii,Total - All Places of Death,1806,41498,3197,916,55,4139,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Hawaii,"Healthcare setting, inpatient",1187,11565,2174,777,36,2618,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Hawaii,"Healthcare setting, outpatient or emergency room",133,3135,134,33,,238,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Hawaii,"Healthcare setting, dead on arrival",30,1740,45,,,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Hawaii,Decedent's home,264,15355,420,64,,626,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Hawaii,Hospice facility,31,1785,86,,,110,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Hawaii,Nursing home/long term care facility,95,3371,168,11,,256,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Hawaii,Other,66,4547,170,19,,219,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Idaho,Total - All Places of Death,5522,56008,4675,2797,135,7526,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Idaho,"Healthcare setting, inpatient",3189,13664,3151,2086,67,4315,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Idaho,"Healthcare setting, outpatient or emergency room",115,1899,103,38,,188,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Idaho,"Healthcare setting, dead on arrival",0,44,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Idaho,Decedent's home,924,23172,633,308,35,1282,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Idaho,Hospice facility,187,2075,181,92,,282,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Idaho,Nursing home/long term care facility,1039,12063,551,252,17,1354,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Idaho,Other,68,3091,56,21,,105,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Idaho,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Illinois,Total - All Places of Death,38173,398255,38041,19688,577,57068,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Illinois,"Healthcare setting, inpatient",24784,123595,28785,16161,374,37754,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Illinois,"Healthcare setting, outpatient or emergency room",1581,28192,1195,495,29,2309,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Illinois,"Healthcare setting, dead on arrival",33,874,13,,0,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Illinois,Decedent's home,3538,133139,2786,924,61,5460,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Illinois,Hospice facility,908,15581,1163,430,16,1656,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Illinois,Nursing home/long term care facility,6308,68774,3486,1459,84,8416,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Illinois,Other,1021,28099,613,212,13,1434,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Illinois,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Indiana,Total - All Places of Death,26445,251122,26276,13786,504,39406,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Indiana,"Healthcare setting, inpatient",15948,78076,19478,11115,349,24636,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Indiana,"Healthcare setting, outpatient or emergency room",626,10772,533,220,23,959,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Indiana,"Healthcare setting, dead on arrival",,199,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Indiana,Decedent's home,2561,83792,2164,801,50,3971,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Indiana,Hospice facility,447,9194,753,268,14,946,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Indiana,Nursing home/long term care facility,6477,55571,3033,1257,61,8311,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Indiana,Other,379,13497,312,124,,574,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Indiana,Place of death unknown,0,21,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Iowa,Total - All Places of Death,10835,111696,9232,4016,310,16346,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Iowa,"Healthcare setting, inpatient",5577,29553,5914,2946,141,8674,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Iowa,"Healthcare setting, outpatient or emergency room",326,5789,241,80,13,500,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Iowa,"Healthcare setting, dead on arrival",,123,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Iowa,Decedent's home,957,31397,810,216,46,1596,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Iowa,Hospice facility,325,9012,613,112,27,852,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Iowa,Nursing home/long term care facility,3519,31400,1570,636,78,4530,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Iowa,Other,126,4420,80,24,,186,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Iowa,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kansas,Total - All Places of Death,9999,100499,8898,4446,295,14732,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kansas,"Healthcare setting, inpatient",5978,28650,6215,3445,172,8910,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kansas,"Healthcare setting, outpatient or emergency room",282,4168,224,90,11,427,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kansas,"Healthcare setting, dead on arrival",,88,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kansas,Decedent's home,989,31733,757,267,42,1519,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kansas,Hospice facility,204,4919,374,82,20,515,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kansas,Nursing home/long term care facility,2401,25608,1229,531,48,3147,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kansas,Other,143,5333,99,31,,212,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kansas,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kentucky,Total - All Places of Death,19763,185788,21905,10101,491,32001,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kentucky,"Healthcare setting, inpatient",12881,64570,17271,8495,349,21962,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kentucky,"Healthcare setting, outpatient or emergency room",761,13782,563,209,21,1136,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kentucky,"Healthcare setting, dead on arrival",,251,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kentucky,Decedent's home,2386,60512,1651,608,63,3487,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kentucky,Hospice facility,821,13503,921,247,35,1526,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kentucky,Nursing home/long term care facility,2701,24300,1348,480,20,3585,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kentucky,Other,207,8855,147,59,,297,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Kentucky,Place of death unknown,,15,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Louisiana,Total - All Places of Death,17410,176362,14892,8782,220,23724,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Louisiana,"Healthcare setting, inpatient",12394,53500,11294,7135,155,16695,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Louisiana,"Healthcare setting, outpatient or emergency room",818,11769,700,333,18,1203,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Louisiana,"Healthcare setting, dead on arrival",,134,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Louisiana,Decedent's home,1712,65618,1184,471,31,2454,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Louisiana,Hospice facility,471,8834,445,222,,700,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Louisiana,Nursing home/long term care facility,1806,24742,1111,562,,2363,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Louisiana,Other,206,11765,154,58,,303,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Louisiana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maine,Total - All Places of Death,3120,54402,3783,830,136,6205,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maine,"Healthcare setting, inpatient",1640,12902,2410,632,73,3489,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maine,"Healthcare setting, outpatient or emergency room",80,1762,94,15,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maine,"Healthcare setting, dead on arrival",,30,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maine,Decedent's home,346,20050,466,69,10,753,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maine,Hospice facility,115,5491,231,26,11,331,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maine,Nursing home/long term care facility,899,11031,537,83,30,1382,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maine,Other,35,3111,43,,,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maine,Place of death unknown,,25,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maryland,Total - All Places of Death,17807,186576,17062,7160,321,27987,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maryland,"Healthcare setting, inpatient",10235,48965,11120,5302,197,16222,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maryland,"Healthcare setting, outpatient or emergency room",677,12409,510,110,23,1099,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maryland,"Healthcare setting, dead on arrival",,196,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maryland,Decedent's home,1633,60491,1255,328,35,2590,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maryland,Hospice facility,1539,19375,2181,726,32,3023,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Maryland,Nursing home/long term care facility,2966,25872,1486,552,26,3920,
